ID,Period,Group,Treatment,Session,Subject,Rank,give,receive1,receive2,return1,return2,returned,give_o,returned_other
1,1,5,1,1,1,3,2,4,2,0,0,1,4,5
1,2,1,1,1,1,3,2,3,2,0,0,4,3,6
1,3,6,1,1,1,2,1,1,6,0,0,1,6,7
1,4,5,1,1,1,2,2,2,10,0,0,1,10,15
1,5,4,1,1,1,3,1,9,1,0,0,0,9,0
1,6,3,1,1,1,2,1,1,10,0,0,4,10,14
2,1,5,1,1,2,1,0,4,2,5,1,1,0,5
2,2,5,1,1,2,1,0,12,6,15,9,9,0,15
2,3,5,1,1,2,1,0,3,0,3,0,0,0,3
2,4,5,1,1,2,1,0,2,10,1,15,15,0,1
2,5,5,1,1,2,1,0,0,4,0,3,3,0,0
2,6,5,1,1,2,1,0,0,3,0,0,0,0,0
3,1,5,1,1,3,2,4,4,2,0,0,5,2,1
3,2,2,1,1,3,2,4,4,5,0,0,8,5,11
3,3,1,1,1,3,2,5,5,10,0,0,11,10,22
3,4,4,1,1,3,3,8,12,8,0,0,0,12,0
3,5,2,1,1,3,2,6,6,12,0,0,13,12,23
3,6,3,1,1,3,3,10,1,10,0,0,14,1,4
4,1,4,1,1,4,3,0,3,0,0,0,0,3,0
4,2,3,1,1,4,3,0,2,0,0,0,0,2,0
4,3,5,1,1,4,3,0,3,0,0,0,0,3,3
4,4,1,1,1,4,3,0,5,0,0,0,0,5,10
4,5,5,1,1,4,2,0,0,4,0,0,0,4,3
4,6,4,1,1,4,3,0,12,0,0,0,0,12,0
5,1,4,1,1,5,2,3,3,0,0,0,0,0,0
5,2,3,1,1,5,2,2,2,0,0,0,0,0,0
5,3,2,1,1,5,2,0,0,12,0,0,0,12,22
5,4,1,1,1,5,2,5,5,0,0,0,10,0,0
5,5,6,1,1,5,3,5,9,5,0,0,4,9,10
5,6,1,1,1,5,2,6,6,12,0,0,14,12,26
6,1,2,1,1,6,2,2,2,8,0,0,3,8,13
6,2,6,1,1,6,2,7,7,10,0,0,9,10,2
